Date, Open, High, Low, Close
10/13/22, 176.3700, 184.5517, 174.8400, 183.7500
10/12/22, 180.1700, 180.7300, 178.9500, 179.3000
10/11/22, 180.0300, 182.4700, 178.5200, 179.7900
10/10/22, 182.9000, 183.2000, 179.6900, 180.9500
10/07/22, 185.6900, 185.8300, 181.4600, 182.4000
10/06/22, 188.8800, 190.4580, 187.4400, 187.7700
10/05/22, 187.9100, 190.6900, 186.3600, 189.5800
10/04/22, 187.1900, 190.0700, 187.1400, 189.9400
10/03/22, 181.5200, 185.0200, 180.2300, 184.0300
09/30/22, 181.5600, 183.7100, 179.2800, 179.4700
09/29/22, 184.2400, 184.3100, 180.3100, 181.9400
09/28/22, 182.5500, 186.7000, 181.7000, 185.8000
09/27/22, 184.2100, 185.4000, 180.6700, 181.9700
09/26/22, 183.5000, 185.4800, 181.6200, 182.2400
09/23/22, 185.5300, 185.8700, 181.8200, 184.2600
09/22/22, 190.1100, 190.5098, 187.9700, 188.2900
09/21/22, 194.6400, 196.4099, 190.4000, 190.4200
09/20/22, 194.4300, 194.7500, 192.2900, 193.7300
09/19/22, 192.9000, 196.0800, 192.8600, 196.0100
09/16/22, 194.4700, 194.8600, 192.8200, 194.6300
09/15/22, 197.8600, 199.3700, 195.6872, 196.4200
09/14/22, 198.4200, 199.2000, 196.7500, 198.5400
09/13/22, 201.9700, 202.5500, 197.1500, 197.7700
09/12/22, 205.5300, 206.9900, 205.3200, 206.6500
09/09/22, 202.3800, 204.8500, 202.3200, 204.4500
09/08/22, 198.3400, 201.1800, 197.7100, 201.1100
09/07/22, 195.7300, 199.9400, 195.6400, 199.5300
09/06/22, 197.4700, 197.6667, 194.7300, 195.9100
09/02/22, 200.6500, 201.3646, 195.8300, 196.7100
09/01/22, 197.4000, 198.8900, 195.5250, 198.6800
08/31/22, 200.9500, 201.5640, 198.5000, 198.5600
08/30/22, 202.9400, 203.1300, 198.9016, 200.0300
08/29/22, 202.2000, 203.9500, 201.6150, 202.2800
08/26/22, 210.8600, 210.9200, 203.7000, 203.7700
08/25/22, 208.6000, 210.8200, 208.1300, 210.7500
08/24/22, 206.8400, 208.5200, 206.4280, 207.7400
08/23/22, 207.3600, 208.5800, 206.6526, 206.8700
08/22/22, 209.0800, 209.4400, 206.8200, 207.2600
08/19/22, 213.3600, 213.4700, 211.2250, 211.7900
08/18/22, 214.3300, 215.2800, 213.7000, 214.8600
08/17/22, 214.3900, 215.7800, 213.1600, 214.3000
08/16/22, 215.4100, 217.2000, 214.5850, 216.2400
08/15/22, 213.8400, 216.0800, 213.6900, 215.7800
08/12/22, 212.4300, 214.9900, 211.8700, 214.9400
08/11/22, 212.8200, 214.0399, 210.9200, 211.2800
08/10/22, 210.2900, 211.4200, 209.5350, 211.2700
08/09/22, 207.4400, 207.5700, 205.9700, 206.5600
08/08/22, 208.6200, 210.1700, 207.2700, 207.8700
08/05/22, 205.6900, 208.0799, 205.5000, 207.6800
08/04/22, 207.9400, 208.2500, 206.9100, 207.7500
08/03/22, 205.9200, 208.5252, 205.7401, 207.9500
08/02/22, 205.0000, 207.0412, 203.8800, 204.6600
08/01/22, 204.9700, 207.0360, 204.2900, 205.7700
07/29/22, 204.1700, 206.7800, 203.6000, 206.2500
07/28/22, 201.0200, 203.7250, 199.3330, 203.4800
07/27/22, 197.5100, 201.7200, 197.3100, 200.8600
07/26/22, 197.2900, 197.3250, 195.2800, 195.7200
07/25/22, 198.3400, 198.6000, 196.9900, 198.1700
