Date,Close/Last,Volume,Open,High,Low
06/14/2017,88.70,84003,89.31,89.44,88.43
06/13/2017,89.15,39914,89.44,89.762,89.01
06/12/2017,88.82,86787,88.89,89.12,88.20
06/09/2017,89.54,145502,90.78,90.96,88.98
06/08/2017,90.91,52884,90.58,91.375,90.16
06/07/2017,89.34,28734,89.15,89.35,89.03
06/06/2017,89.09,59759,88.84,89.3014,88.81
06/05/2017,88.72,45608,88.53,88.82,88.45
06/02/2017,88.76,46797,88.49,88.76,88.3681
06/01/2017,88.61,56182,88.04,88.61,87.9301
05/31/2017,87.54,61734,88.03,88.03,87.44
05/30/2017,88.21,18317,88.09,88.32,88.01
05/26/2017,88.23,34562,88.00,88.27,87.95
05/25/2017,88.13,21309,88.06,88.30,87.90
05/24/2017,87.14,23797,87.10,87.198,86.9501
05/23/2017,87.01,54289,87.36,87.511,86.99
05/22/2017,87.55,105249,87.26,87.6456,87.26
05/19/2017,86.78,73586,86.07,86.95,86.07
05/18/2017,85.48,29492,84.85,85.68,84.5291
05/17/2017,85.26,42454,86.01,86.1592,85.21
05/16/2017,86.61,44537,85.95,86.62,85.95
05/15/2017,86.18,36082,85.73,86.26,85.70
05/12/2017,85.50,45246,85.10,85.50,85.10
05/11/2017,84.81,34573,84.80,84.95,84.31
05/10/2017,84.97,16651,84.73,85.0457,84.6016
05/09/2017,84.31,84564,83.98,84.57,83.93
05/08/2017,82.72,322821,83.05,83.14,82.70
05/05/2017,82.83,23794,82.43,82.83,82.2304
05/04/2017,82.72,73237,83.19,83.24,82.4528
05/03/2017,83.68,51342,83.98,83.98,83.441
05/02/2017,84.05,70802,84.00,84.27,83.90
05/01/2017,84.21,89354,84.13,84.45,83.9461
04/28/2017,83.78,34396,83.91,83.91,83.5397
04/27/2017,83.85,45357,83.80,83.91,83.61
04/26/2017,84.01,103529,84.06,84.25,84.00
04/25/2017,84.15,40989,84.06,84.39,84.06
04/24/2017,83.09,46258,83.27,83.27,83.02
04/21/2017,82.71,52680,82.39,82.76,82.37
04/20/2017,82.75,16901,82.35,82.81,82.31
04/19/2017,81.55,76148,81.96,82.185,81.4474
04/18/2017,81.66,85245,81.73,81.92,81.46
04/17/2017,82.84,46222,82.44,82.96,82.40
04/13/2017,82.37,180121,82.82,83.02,82.32
04/12/2017,82.58,35652,82.62,82.81,82.37
04/11/2017,82.36,21043,82.44,82.62,81.901
04/10/2017,82.75,111965,82.72,82.86,82.4533
04/07/2017,83.04,27655,82.88,83.20,82.76
04/06/2017,82.97,89930,82.81,83.04,82.70
04/05/2017,83.11,174700,83.41,83.45,82.86
04/04/2017,82.94,87222,82.86,83.07,82.60
04/03/2017,82.91,314862,82.58,82.93,82.26
03/31/2017,82.05,52103,82.09,82.26,81.98
03/30/2017,82.54,28732,82.45,82.61,82.35
03/29/2017,83.05,40614,82.72,83.0899,82.70
03/28/2017,83.17,34640,82.79,83.3492,82.79
03/27/2017,82.78,44226,82.22,82.92,82.021
03/24/2017,83.25,59428,83.15,83.4452,83.01
03/23/2017,83.24,40174,82.69,83.40,82.65
03/22/2017,83.01,135438,82.38,83.11,82.1501
03/21/2017,82.60,78297,84.12,84.2899,82.481
03/20/2017,83.8497,61409,83.51,83.939,83.4953
03/17/2017,82.82,25003,83.06,83.10,82.74
03/16/2017,83.14,36025,83.00,83.2699,83.00
03/15/2017,82.25,193254,81.36,82.50,81.05
03/14/2017,81.07,57186,81.19,81.26,80.893
03/13/2017,81.43,55379,81.19,81.54,81.19
03/10/2017,80.03,34182,79.96,80.105,79.76
03/09/2017,79.67,78817,79.75,79.86,79.2194
03/08/2017,80.44,75381,80.79,80.8815,80.35
03/07/2017,80.27,783685,80.31,80.52,80.19
03/06/2017,80.01,209703,80.07,80.17,79.83
03/03/2017,80.17,38070,80.25,80.41,80.00
03/02/2017,79.95,39474,80.40,80.40,79.91
03/01/2017,81.32,45852,80.80,81.44,80.80
02/28/2017,80.28,40187,80.46,80.56,80.19
02/27/2017,80.61,16156,80.44,80.63,80.231
02/24/2017,80.82,97323,80.69,80.82,80.6167
02/23/2017,81.78,27964,82.29,82.29,81.55
02/22/2017,82.02,38904,81.70,82.0457,81.70
02/21/2017,81.30,50956,80.85,81.36,80.85
